startWochentag;startDatum;startKM;startOrt;endeWochentag;endeDatum;endeKM;endeOrt;ereignis;bemerkung
Fri;16.02.2018.06:00;119959;TimeTec;Fri;16.02.2018.07:00;120024;VKB - Saarbrücken;Fahrt;
Thu;15.02.2018.16:45;119890;VKB - Saarbrücken;Thu;15.02.2018.18:00;119959;TimeTec;Fahrt;
Thu;15.02.2018.06:00;119825;TimeTec;Thu;15.02.2018.07:00;119890;VKB - Saarbrücken;Fahrt;
Wed;14.02.2018.11:30;119330;Primas - WOB;Wed;14.02.2018.17:00;119825;TimeTec;Fahrt;
Tue;13.02.2018.14:45;119325;HEM - Wolfsburg;Tue;13.02.2018.15:00;119330;Primas - WOB;Fahrt;
Tue;13.02.2018.14:00;119320;Primas - WOB;Tue;13.02.2018.14:15;119325;HEM - Wolfsburg;Fahrt;
Tue;13.02.2018.12:00;119315;BZN - Wolfsburg;Tue;13.02.2018.12:20;119320;Primas - WOB;Fahrt;
Tue;13.02.2018.08:00;119309;Primas - WOB;Tue;13.02.2018.08:20;119315;BZN - Wolfsburg;Fahrt;
Mon;12.02.2018.16:00;119304;BZN - Wolfsburg;Mon;12.02.2018.16:15;119309;Primas - WOB;Fahrt;
Mon;12.02.2018.14:00;119300;Primas - WOB;Mon;12.02.2018.14:15;119304;BZN - Wolfsburg;Fahrt;
Mon;12.02.2018.03:30;118801;TimeTec;Mon;12.02.2018.08:30;119300;Primas - WOB;Fahrt;
Sat;10.02.2018.17:00;118781;HEM - Kaiserslautern;Sat;10.02.2018.17:20;118801;TimeTec;Fahrt;
Sat;10.02.2018.16:30;118762;TimeTec;Sat;10.02.2018.16:45;118781;HEM - Kaiserslautern;Fahrt;
Fri;09.02.2018.16:30;118699;VKB - Saarbrücken;Fri;09.02.2018.17:45;118762;TimeTec;Fahrt;
Fri;09.02.2018.06:00;118636;TimeTec;Fri;09.02.2018.07:00;118699;VKB - Saarbrücken;Fahrt;
Thu;08.02.2018.16:30;118574;VKB - Saarbrücken;Thu;08.02.2018.17:45;118636;TimeTec;Fahrt;
Thu;08.02.2018.06:00;118511;TimeTec;Thu;08.02.2018.07:00;118574;VKB - Saarbrücken;Fahrt;
Wed;07.02.2018.17:15;118375;Frankfurt - Solmsstrasse 83;Wed;07.02.2018.19:00;118511;TimeTec;Fahrt;
Wed;07.02.2018.13:10;118048;ARAL - Rueningen;Wed;07.02.2018.16:45;118375;Frankfurt - Solmsstrasse 83;Fahrt;Firma TECsystems - Frau Neidhard
Wed;07.02.2018.12:15;118017;Primas - WOB;Wed;07.02.2018.12:50;118048;ARAL - Rueningen;Fahrt;
Tue;06.02.2018.12:00;118014;BZN - Wolfsburg;Tue;06.02.2018.12:20;118017;Primas - WOB;Fahrt;
Tue;06.02.2018.09:00;118010;Primas - WOB;Tue;06.02.2018.09:15;118014;BZN - Wolfsburg;Fahrt;
Mon;05.02.2018.14:00;118006;BZN - Wolfsburg;Mon;05.02.2018.14:15;118010;Primas - WOB;Fahrt;
Mon;05.02.2018.10:00;118003;Primas - WOB;Mon;05.02.2018.10:10;118006;BZN - Wolfsburg;Fahrt;
Mon;05.02.2018.03:30;117506;TimeTec;Mon;05.02.2018.08:20;118003;Primas - WOB;Fahrt;
Sun;04.02.2018.19:40;117487;JET - Kaiserslautern;Sun;04.02.2018.20:00;117506;TimeTec;Fahrt;
Sun;04.02.2018.19:00;117467;TimeTec ;Sun;04.02.2018.19:20;117487;JET - Kaiserslautern;Fahrt;
Fri;02.02.2018.13:00;117396;VKB - Saarbrücken;Fri;02.02.2018.14:00;117467;TimeTec ;Fahrt;
Fri;02.02.2018.06:00;117327;TimeTec;Fri;02.02.2018.06:50;117396;VKB - Saarbrücken;Fahrt;
Thu;01.02.2018.19:40;117308;JET - Kaiserslautern;Thu;01.02.2018.20:00;117327;TimeTec;Fahrt;
Thu;01.02.2018.19:00;117287;TimeTec;Thu;01.02.2018.19:20;117308;JET - Kaiserslautern;Fahrt;
Thu;01.02.2018.16:45;117220;VKB - Saarbrücken;Thu;01.02.2018.17:50;117287;TimeTec;Fahrt;
Thu;01.02.2018.06:00;117149;TimeTec;Thu;01.02.2018.06:50;117220;VKB - Saarbrücken;Fahrt;
Wed;31.01.2018.11:30;116640;Primas - WOB;Wed;31.01.2018.17:30;117149;TimeTec;Fahrt;
Tue;30.01.2018.16:30;116635;BZN - Wolfsburg;Tue;30.01.2018.16:45;116640;Primas - WOB;Fahrt;
Tue;30.01.2018.13:30;116631;Primas - WOB;Tue;30.01.2018.13:45;116635;BZN - Wolfsburg;Fahrt;Büro Zentrum Nord in Wolfsburg
Mon;29.01.2018.17:10;116627;HEM - Wolfsburg;Mon;29.01.2018.17:20;116631;Primas - WOB;Fahrt;
Mon;29.01.2018.16:40;116623;Primas - WOB;Mon;29.01.2018.16:50;116627;HEM - Wolfsburg;Fahrt;
Mon;29.01.2018.04:00;116111;TimeTec;Mon;29.01.2018.08:30;116623;Primas - WOB;Fahrt;
Fri;26.01.2018.17:00;116089;JET - Kaiserslautern;Fri;26.01.2018.17:30;116111;TimeTec;Fahrt;
Fri;26.01.2018.16:00;116014;VKB - Saarbrücken ;Fri;26.01.2018.16:45;116089;JET - Kaiserslautern;Fahrt;
Fri;26.01.2018.06:00;115947;TimeTec;Fri;26.01.2018.06:50;116014;VKB - Saarbrücken ;Fahrt;
Thu;25.01.2018.16:30;115882;VKB - Saarbrücken;Thu;25.01.2018.17:30;115947;TimeTec;Fahrt;
Thu;25.01.2018.06:00;115814;TimeTec;Thu;25.01.2018.07:00;115882;VKB - Saarbrücken;Fahrt;
Wed;24.01.2018.10:15;115319;ESSO - Pirali;Wed;24.01.2018.17:00;115814;TimeTec;Fahrt;
Wed;24.01.2018.09:50;115318;Primas - WOB;Wed;24.01.2018.10:00;115319;ESSO - Pirali;Fahrt;
Tue;23.01.2018.04:00;114816;TimeTec;Tue;23.01.2018.09:00;115318;Primas - WOB;Fahrt;
